nombre,poblacion,superficie,continente
Argentina,45808747,2780400,América
Brasil,217000000,8515767,América
Chile,19828238,756102,América
Japón,125500000,377975,Asia
China,1411000000,9596961,Asia
Australia,26700000,7692024,Oceanía
Alemania,84300000,357588,Europa
España,48000000,505990,Europa
Nigeria,230000000,923768,África
Egipto,113000000,1002450,África
India,1417000000,3287000,Asia
Rusia,144000000,17100000,Europa
Canadá,40000000,9984670,América
Afganistán,43000000,652864,Asia
Mozambique,34000000,801590,África
Luxemburgo,640000,2586,Europa
Nueva Zelanda,5118700,270500,Oceanía
Papúa Nueva Guinea,8935000,462800,Oceanía